nodeID,latitude,longitude
2062614528,31.7334152,117.2032065
4641849352,31.8261512,117.1960553
4641849353,31.8293223,117.1965239
4641849370,31.8296916,117.2049774
3264774185,31.8079471,117.2520893
3264774186,31.8104819,117.2521213
3264774195,31.8144885,117.2521191
5016641597,31.8552941,117.1892472
3264774198,31.8132509,117.2521567
5016641598,31.8551507,117.1892541
3264774201,31.812629,117.2552607
5016641599,31.8547527,117.1892519
5016641600,31.8340284,117.1891907
4901535812,31.8644889,117.3019332
5016641601,31.8337018,117.1892118
2896527435,31.9830543,117.2523562
2896527436,31.9803631,117.2524554
5016641602,31.8296993,117.1891969
2896527437,31.9776422,117.2525736
5016641603,31.8224541,117.1891938
4901535829,31.8570824,117.3181901
5016641604,31.821873,117.189199
5016641605,31.8212119,117.1890685
4901535841,31.8535333,117.2387215
5016641606,31.8205065,117.1887761
5016641607,31.8196069,117.1882093
4349263982,31.8421031,117.1947559
4901535856,31.8543328,117.2268904
1037009009,31.7916023,117.1696858
5016641609,31.8165832,117.1863227
2533652719,31.7958115,117.3816931
5001314421,31.8831929,117.2237404
5001314422,31.8837162,117.2242087
5001314423,31.8839726,117.2243443
5001314424,31.8841766,117.2243319
5001314425,31.8847469,117.2242272
5001314426,31.8850347,117.2239622
5001314427,31.885333,117.2234138
5001314428,31.8856678,117.2233213
5001314429,31.8861126,117.2232967
5001314430,31.886416,117.2232228
1037009023,31.801124,117.1657634
5001314431,31.8867247,117.2229023
5001314432,31.8870491,117.2225018
5001314433,31.8871381,117.221978
5001314434,31.8870387,117.2214789
5001314435,31.8869497,117.2208503
5001314436,31.8869497,117.2204929
5001314437,31.8870387,117.2200862
1037009031,31.7970146,117.1696465
5001314438,31.8872741,117.219544
3025338505,31.721062,117.3627256
5001314439,31.8872689,117.219242
5001314440,31.8872427,117.2190079
5001314441,31.887091,117.2187244
5001314442,31.8869288,117.2184903
1037009038,31.8052148,117.1741092
1037009039,31.7970343,117.1614419
5001314443,31.8863951,117.2183609
5001314444,31.8859922,117.2183424
5001314445,31.8855841,117.218441
5001314446,31.8852806,117.2184779
5001314447,31.8851184,117.2184225
3025338517,31.7105492,117.4005251
5001314448,31.8850556,117.218213
3025338519,31.7099224,117.409573
5001314449,31.8851289,117.2180035
5001314450,31.8852702,117.2178432
5001314451,31.8852963,117.2175783
5001314452,31.8851864,117.2174489
5001314453,31.8850556,117.2174181
5001314454,31.8848568,117.2175043
4290347166,31.7097485,117.2587669
3025207454,31.7293898,117.3143775
5001314464,31.8770687,117.2446426
5001314463,31.8770239,117.2422944
3025207458,31.7302557,117.3141838
5367333026,31.9637933,117.2598549
5367333027,31.9639239,117.2602611
5367333028,31.9652396,117.2637938
5367333030,31.9660832,117.2660615
5367333031,31.9668718,117.2681871
1037009064,31.8097863,117.1882901
1037009065,31.7970271,117.1742103
1037009062,31.801182,117.1614269
1037009067,31.8191911,117.1656577
5367333036,31.9705046,117.2741093
1037009066,31.8005098,117.1832448
5001314478,31.8777538,117.2358107
5367333038,31.973302,117.2782508
5001314480,31.8784104,117.2367609
5001314481,31.8781069,117.2366808
5001314482,31.8777929,117.2365822
5001314483,31.8775104,117.2365144
5001314484,31.877322,117.2365575
5001314485,31.8772173,117.2367239
5001314486,31.8772016,117.2369704
5001314487,31.8773691,117.2372477
5001314479,31.878536,117.236767
